========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
95       OK       870.90 ± 0.65 (869.76-871.93)     109.1        11719.4      123.4      24.1%
96       OK       893.76 ± 0.61 (892.73-894.70)     107.4        11733.0      122.2      24.1%
97       OK       900.87 ± 0.55 (900.23-901.63)     107.7        11745.7      121.1      24.1%
98       OK       892.66 ± 0.61 (891.71-893.66)     109.8        11756.5      120.0      24.2%
99       OK       918.64 ± 0.87 (916.65-920.10)     107.8        11771.4      118.9      24.2%
100      OK       904.34 ± 0.70 (902.59-905.06)     110.6        11790.6      117.9      24.2%
101      OK       942.62 ± 0.81 (940.82-943.68)     107.1        11809.9      116.9      24.3%
102      OK       935.42 ± 0.63 (933.84-936.11)     109.0        11815.8      115.8      24.3%
103      OK       940.72 ± 0.77 (938.88-941.55)     109.5        11820.2      114.8      24.3%
104      OK       967.39 ± 0.59 (966.55-968.54)     107.5        11830.0      113.8      24.3%
105      OK       951.53 ± 0.64 (950.37-952.47)     110.3        11846.1      112.8      24.3%
106      OK       984.89 ± 1.24 (983.92-988.53)     107.6        11858.6      111.9      24.4%
107      OK       971.45 ± 0.66 (970.80-973.19)     110.1        11869.5      110.9      24.4%
108      OK       977.74 ± 0.95 (976.80-979.55)     110.5        11886.8      110.1      24.4%
109      OK       981.04 ± 0.55 (980.36-982.43)     111.1        11908.2      109.2      24.5%
110      OK       1003.84 ± 0.70 (1002.81-1005.59)     109.6        11935.8      108.5      24.5%
111      OK       1031.76 ± 0.39 (1031.27-1032.49)     107.6        11917.5      107.4      24.5%
112      OK       1017.98 ± 0.72 (1017.15-1019.67)     110.0        11928.6      106.5      24.5%
113      OK       1044.34 ± 0.70 (1043.56-1046.26)     108.2        11942.4      105.7      24.5%
114      OK       1056.45 ± 0.70 (1055.65-1058.00)     107.9        11954.0      104.9      24.6%
115      OK       1040.75 ± 0.30 (1040.15-1041.15)     110.5        11965.9      104.1      24.6%
116      OK       1047.27 ± 0.82 (1046.28-1049.38)     110.8        11984.6      103.3      24.6%
117      OK       1070.42 ± 0.88 (1069.24-1072.40)     109.3        11995.1      102.5      24.6%
118      OK       1097.54 ± 0.63 (1096.54-1098.45)     107.5        12029.2      101.9      24.7%
119      OK       1081.73 ± 0.81 (1080.50-1083.72)     110.0        12015.1      101.0      24.7%
120      OK       1087.04 ± 0.87 (1085.88-1089.38)     110.4        12029.1      100.2      24.7%
121      OK       1100.41 ± 0.67 (1099.36-1101.29)     110.0        12041.8       99.5      24.7%
122      OK       1116.17 ± 0.51 (1115.39-1116.96)     109.3        12053.1       98.8      24.8%
123      OK       1111.45 ± 0.62 (1110.29-1112.53)     110.7        12064.8       98.1      24.8%
124      OK       1118.39 ± 0.64 (1117.68-1119.71)     110.9        12079.4       97.4      24.8%
125      OK       1146.18 ± 0.36 (1145.66-1146.77)     109.1        12091.8       96.7      24.8%
126      OK       1143.30 ± 0.86 (1142.05-1145.17)     110.2        12117.7       96.2      24.9%
127      OK       1150.68 ± 0.86 (1149.94-1153.05)     110.4        12138.6       95.6      24.9%
128      OK       1158.07 ± 0.69 (1156.81-1159.12)     110.5        12133.6       94.8      24.9%
129      OK       1170.64 ± 0.81 (1169.50-1172.50)     110.2        12141.2       94.1      24.9%
130      OK       1190.21 ± 0.63 (1189.04-1191.40)     109.2        12153.7       93.5      25.0%
131      OK       1194.11 ± 0.51 (1193.10-1194.99)     109.7        12165.9       92.9      25.0%
132      OK       1188.19 ± 0.66 (1186.92-1189.30)     111.1        12179.3       92.3      25.0%
133      OK       1208.20 ± 0.60 (1207.26-1209.02)     110.1        12191.1       91.7      25.0%
