========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
196      OK       82.21 ± 3.38 (80.85-92.34)    2384.1         1270.0        6.5       2.6%
197      OK       83.69 ± 3.60 (81.34-92.90)    2353.9         1277.2        6.5       2.6%
198      OK       83.16 ± 3.33 (81.66-93.11)    2381.1         1283.0        6.5       2.6%
199      OK       84.46 ± 3.89 (82.20-93.92)    2356.2         1288.8        6.5       2.6%
200      OK       83.85 ± 2.09 (82.33-89.16)    2385.3         1294.4        6.5       2.7%
201      OK       83.97 ± 3.19 (82.11-93.49)    2393.6         1300.8        6.5       2.7%
202      OK       85.61 ± 4.69 (83.02-95.22)    2359.5         1306.4        6.5       2.7%
203      OK       85.87 ± 4.64 (83.40-95.53)    2364.1         1311.6        6.5       2.7%
204      OK       86.29 ± 4.72 (83.24-95.92)    2364.1         1318.4        6.5       2.7%
205      OK       86.16 ± 3.84 (83.98-96.29)    2379.4         1323.8        6.5       2.7%
206      OK       86.01 ± 3.39 (84.69-96.18)    2395.2         1330.8        6.5       2.7%
207      OK       88.13 ± 4.59 (85.62-98.00)    2348.9         1335.9        6.5       2.7%
208      OK       88.27 ± 4.51 (85.58-97.31)    2356.4         1342.1        6.5       2.8%
209      OK       87.37 ± 3.17 (85.50-96.80)    2392.1         1347.2        6.4       2.8%
210      OK       87.89 ± 2.48 (86.32-93.86)    2389.2         1353.6        6.4       2.8%
211      OK       85.73 ± 0.35 (85.28-86.60)    2461.3         1360.8        6.4       2.8%
212      OK       86.42 ± 0.50 (85.64-87.09)    2453.2         1365.2        6.4       2.8%
213      OK       86.75 ± 0.19 (86.39-86.95)    2455.4         1371.7        6.4       2.8%
214      OK       87.19 ± 0.36 (86.74-87.97)    2454.5         1377.6        6.4       2.8%
215      OK       87.76 ± 0.35 (87.07-88.15)    2449.8         1384.3        6.4       2.8%
216      OK       88.13 ± 0.13 (87.93-88.38)    2451.0         1388.7        6.4       2.9%
217      OK       88.21 ± 0.20 (87.96-88.62)    2460.0         1394.6        6.4       2.9%
218      OK       103.17 ± 3.55 (96.39-108.03)    2112.9         1401.6        6.4       2.9%
