batch_size,status,avg_latency_ms,std_latency_ms,throughput,throughput_efficiency,peak_memory_mb,memory_per_sample_mb,memory_utilization
37,success,356.8880615234375,2.3024071458085418,103.67396388116542,2.8019990238152817,11004.7060546875,297.42448796452703,22.61097715662706
38,success,362.42042541503906,2.810883371273371,104.85060260188952,2.7592263842602507,11024.19970703125,290.1105186060855,22.651030069049565
39,success,381.9645080566406,2.073086855087556,102.10372738143718,2.6180442918317226,11029.5888671875,282.80997095352564,22.662102984271545
40,success,397.5772216796875,2.299198641860855,100.60938559560246,2.5152346398900614,11062.01025390625,276.5502563476563,22.728718051574642
41,success,394.7077575683594,2.1790336841242284,103.87432021246558,2.5335200051820874,11052.41845703125,269.571181878811,22.709010128532096
42,success,410.3752716064453,1.5477146720793467,102.34534804104496,2.436794000977261,11083.1171875,263.8837425595238,22.77208571545981
43,success,416.5247772216797,1.4584444258732894,103.23515514928145,2.4008175616111966,11134.88623046875,258.9508425690407,22.878453722217085
44,success,420.67906799316404,2.779439569231137,104.59279614243843,2.377109003237237,11091.14208984375,252.0714111328125,22.788574196176782
45,success,428.7080383300781,1.4540033307273885,104.96654127430389,2.3325898060956423,11102.61669921875,246.72481553819443,22.812150666931206
46,success,443.23326721191404,1.5157262832218972,103.78282363450612,2.2561483398805677,11132.9990234375,242.02171790081522,22.87457614521854
47,success,464.05621337890625,1.3413879802917157,101.28083332357853,2.1549113473101817,11130.71484375,236.82372007978722,22.869882922657297
48,success,481.2395538330078,2.2541451325939343,99.74242478135163,2.0779671829448256,11146.62939453125,232.22144571940103,22.902581982712565
49,success,477.81630859375,1.6932299211819752,102.54986930900444,2.092854475693968,11153.931640625,227.63125797193877,22.91758564739905
50,success,493.92587890625,0.7457568643598427,101.22976368583898,2.0245952737167796,11165.6689453125,223.31337890625,22.941701868845637
51,success,498.05711059570314,2.0287636161895644,102.39789557266084,2.007801873973742,11221.4296875,220.0280330882353,23.05627147766323
52,success,494.60960693359374,1.7030226307144278,105.13342092641868,2.021796556277282,11205.28076171875,215.48616849459134,23.023090855652125
53,success,510.68731689453125,1.8448855641038877,103.78170408125825,1.9581453600237406,11202.8994140625,211.37546064268867,23.018197985530026
54,success,506.7947692871094,1.7654023870928905,106.55200738547465,1.9731853219532343,11213.5029296875,207.65746166087962,23.03998465101526
55,success,548.991162109375,1.9173114201432344,100.18376213685276,1.8215229479427775,11233.39501953125,204.24354580965908,23.08085621876268
56,success,582.2602172851563,1.3614725198337387,96.17692972586266,1.717445173676119,11238.14306640625,200.6811261858259,23.090611861384637
57,success,552.3415954589843,1.1855330650398803,103.19700791796097,1.8104738231221225,11250.77001953125,197.3819301672149,23.11655601175525
58,success,569.9766235351562,1.7603966334198138,101.75855921996869,1.754457917585667,11262.0068359375,194.17253165409483,23.13964389777531
59,success,575.8248657226562,1.5217769613744703,102.46170930106571,1.736639140696029,11299.2587890625,191.5128608315678,23.216184157638985
60,success,581.6826904296875,2.1501443059725496,103.14902091323735,1.7191503485539559,11345.74072265625,189.0956787109375,23.311688929275885
61,success,586.7925170898437,2.577565117094619,103.95497253871814,1.7041798776839039,11300.736328125,185.25797259221312,23.219220004468895
62,success,595.3786926269531,2.248202470362818,104.13540284157833,1.6796032716383602,11319.3984375,182.5709425403226,23.257564375202257
63,success,590.0081115722656,2.305767082464035,106.77819298469697,1.6948919521380472,11325.50341796875,179.7698955233135,23.27010806089768
64,success,619.4678405761719,1.6560566491165898,103.31448350970585,1.614288804839154,11338.55126953125,177.16486358642578,23.296917016280645
65,success,602.6010375976563,0.849372959874856,107.8657286405124,1.6594727483155753,11350.708984375,174.6262920673077,23.321897039485513
66,success,606.1282287597656,1.5125466274160864,108.88785057090386,1.6498159177409677,11363.47705078125,172.1738947088068,23.348131130283697
67,success,629.3517639160157,1.4732759712433963,106.45874666832724,1.58893651743772,11379.6171875,169.84503264925374,23.381293693721457
68,success,635.2516052246094,2.171985283125381,107.04420018892651,1.574179414543037,11415.77001953125,167.87897087545957,23.45557562866308
69,success,643.0712707519531,2.056667449799781,107.2975938099633,1.5550375914487435,11398.51171875,165.19582201086956,23.42011561339436
70,success,647.3437377929688,1.5130737855205878,108.13420430798568,1.5447743472569384,11412.62890625,163.03755580357142,23.449121695200816
