========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
88       OK       90.19 ± 0.17 (90.09-90.71)     975.7         1134.3       12.9       2.3%
89       OK       92.35 ± 0.19 (92.16-92.86)     963.7         1144.8       12.9       2.4%
90       OK       93.29 ± 0.16 (93.14-93.68)     964.7         1156.3       12.8       2.4%
91       OK       94.27 ± 0.21 (94.09-94.86)     965.4         1169.6       12.9       2.4%
92       OK       94.24 ± 0.27 (94.00-94.99)     976.3         1180.1       12.8       2.4%
93       OK       96.20 ± 0.09 (96.10-96.32)     966.8         1191.1       12.8       2.4%
94       OK       97.30 ± 0.22 (97.00-97.84)     966.1         1204.1       12.8       2.5%
95       OK       98.30 ± 0.14 (98.12-98.60)     966.5         1214.6       12.8       2.5%
96       OK       98.17 ± 0.19 (97.93-98.52)     977.9         1228.1       12.8       2.5%
97       OK       100.17 ± 0.44 (99.94-101.38)     968.3         1240.4       12.8       2.5%
98       OK       103.14 ± 0.20 (102.94-103.72)     950.2         1251.5       12.8       2.6%
99       OK       104.19 ± 0.25 (103.95-104.81)     950.2         1263.2       12.8       2.6%
100      OK       104.00 ± 0.13 (103.86-104.36)     961.5         1274.2       12.7       2.6%
101      OK       106.12 ± 0.11 (105.93-106.35)     951.8         1285.5       12.7       2.6%
102      OK       107.11 ± 0.09 (106.93-107.24)     952.3         1297.3       12.7       2.7%
103      OK       108.10 ± 0.16 (107.89-108.46)     952.8         1310.1       12.7       2.7%
104      OK       107.86 ± 0.08 (107.72-107.96)     964.2         1323.5       12.7       2.7%
105      OK       110.16 ± 0.05 (110.08-110.25)     953.1         1334.4       12.7       2.7%
106      OK       111.17 ± 0.21 (110.93-111.71)     953.5         1345.8       12.7       2.8%
107      OK       112.31 ± 0.11 (112.19-112.59)     952.7         1358.4       12.7       2.8%
108      OK       111.99 ± 0.14 (111.79-112.22)     964.4         1369.1       12.7       2.8%
109      OK       114.28 ± 0.08 (114.16-114.38)     953.8         1380.3       12.7       2.8%
110      OK       115.22 ± 0.12 (115.07-115.48)     954.7         1393.7       12.7       2.9%
111      OK       116.28 ± 0.19 (116.12-116.74)     954.6         1404.5       12.7       2.9%
112      OK       115.98 ± 0.22 (115.77-116.54)     965.7         1416.4       12.6       2.9%
113      OK       118.77 ± 0.31 (118.41-119.61)     951.5         1428.3       12.6       2.9%
114      OK       119.71 ± 0.15 (119.56-120.14)     952.3         1440.0       12.6       3.0%
115      OK       120.72 ± 0.23 (120.46-121.30)     952.6         1452.3       12.6       3.0%
116      OK       120.26 ± 0.27 (120.07-121.01)     964.6         1464.4       12.6       3.0%
117      OK       122.74 ± 0.10 (122.57-122.92)     953.3         1475.5       12.6       3.0%
118      OK       123.69 ± 0.11 (123.55-123.88)     954.0         1487.2       12.6       3.1%
119      OK       124.73 ± 0.14 (124.55-125.03)     954.1         1498.5       12.6       3.1%
120      OK       121.90 ± 0.30 (121.62-122.62)     984.4         1511.7       12.6       3.1%
121      OK       124.38 ± 0.13 (124.21-124.63)     972.8         1521.7       12.6       3.1%
122      OK       125.31 ± 0.20 (125.11-125.68)     973.6         1534.2       12.6       3.2%
123      OK       126.37 ± 0.20 (126.08-126.69)     973.4         1548.5       12.6       3.2%
124      OK       125.84 ± 0.21 (125.60-126.15)     985.3         1559.3       12.6       3.2%
125      OK       128.30 ± 0.15 (128.08-128.56)     974.3         1570.0       12.6       3.2%
126      OK       129.34 ± 0.18 (129.11-129.83)     974.2         1582.4       12.6       3.3%
127      OK       130.36 ± 0.25 (130.04-130.98)     974.2         1593.3       12.5       3.3%
128      OK       129.72 ± 0.34 (129.33-130.69)     986.7         1604.4       12.5       3.3%
129      OK       132.20 ± 0.15 (132.02-132.60)     975.8         1617.8       12.5       3.3%
130      OK       133.22 ± 0.38 (132.90-134.20)     975.9         1628.8       12.5       3.3%
131      OK       134.23 ± 0.40 (133.96-135.36)     976.0         1640.8       12.5       3.4%
132      OK       133.59 ± 0.25 (133.36-134.22)     988.1         1653.6       12.5       3.4%
